alpha_deg,cx,cz
-180,0.0101439,-0.0707134
-179,0.0126984,-0.0592403
-178,0.0149295,-0.0480409
-177,0.0168536,-0.0371281
-176,0.0184872,-0.0265133
-175,0.0198476,-0.0162071
-174,0.020952,-0.0062184
-173,0.0218178,0.00344499
-172,0.0224628,0.0127766
-171,0.0229046,0.0217712
-170,0.0231608,0.030425
-169,0.0232489,0.0387353
-168,0.0231862,0.0467007
-167,0.0229896,0.054321
-166,0.0226759,0.0615975
-165,0.0222614,0.0685322
-164,0.0217618,0.0751284
-163,0.0211924,0.0813907
-162,0.0205678,0.0873245
-161,0.0199021,0.0929362
-160,0.0192086,0.0982332
-159,0.0184998,0.103224
-158,0.0177876,0.107917
-157,0.0170827,0.112322
-156,0.0163955,0.11645
-155,0.0157349,0.120311
-154,0.0151094,0.123918
-153,0.0145264,0.127281
-152,0.0139922,0.130415
-151,0.0135124,0.13333
-150,0.0130916,0.13604
-149,0.0127334,0.138558
-148,0.0124405,0.140896
-147,0.0122149,0.143069
-146,0.0120573,0.145089
-145,0.011968,0.146968
-144,0.0119462,0.14872
-143,0.0119904,0.150356
-142,0.0120983,0.151889
-141,0.012267,0.153331
-140,0.0124929,0.154692
-139,0.0127716,0.155983
-138,0.0130985,0.157215
-137,0.0134682,0.158396
-136,0.013875,0.159536
-135,0.0143128,0.160644
-134,0.0147751,0.161726
-133,0.0152553,0.16279
-132,0.0157465,0.163842
-131,0.0162416,0.164888
-130,0.0167335,0.165932
-129,0.0172152,0.166978
-128,0.0176795,0.16803
-127,0.0181195,0.169091
-126,0.0185284,0.170161
-125,0.0188996,0.171243
-124,0.0192268,0.172337
-123,0.019504,0.173443
-122,0.0197257,0.17456
-121,0.0198866,0.175687
-120,0.0199819,0.176822
-119,0.0200074,0.177963
-118,0.0199595,0.179108
-117,0.0198347,0.180252
-116,0.0196307,0.181392
-115,0.0193452,0.182525
-114,0.018977,0.183647
-113,0.0185251,0.184753
-112,0.0179894,0.185838
-111,0.0173703,0.186898
-110,0.0166688,0.187928
-109,0.0158866,0.188925
-108,0.0150259,0.189881
-107,0.0140896,0.190795
-106,0.013081,0.19166
-105,0.0120039,0.192472
-104,0.0108629,0.193229
-103,0.00966268,0.193924
-102,0.00840864,0.194557
-101,0.00710645,0.195122
-100,0.00576213,0.195617
-99,0.00438205,0.19604
-98,0.0029728,0.196388
-97,0.00154122,0.196661
-96,9.4286e-05,0.196856
-95,-0.00136089,0.196974
-94,-0.00281713,0.197013
-93,-0.00426726,0.196975
-92,-0.00570413,0.196859
-91,-0.00712067,0.196667
-90,-0.00850997,0.196401
-89,-0.00986529,0.196062
-88,-0.0111801,0.195653
-87,-0.0124482,0.195177
-86,-0.0136637,0.194636
-85,-0.0148209,0.194036
-84,-0.0159149,0.193379
-83,-0.0169408,0.19267
-82,-0.0178944,0.191913
-81,-0.018772,0.191113
-80,-0.0195703,0.190274
-79,-0.0202867,0.189403
-78,-0.020919,0.188504
-77,-0.0214657,0.187581
-76,-0.0219258,0.186641
-75,-0.022299,0.185689
-74,-0.0225854,0.184729
-73,-0.0227858,0.183767
-72,-0.0229018,0.182807
-71,-0.0229352,0.181854
-70,-0.0228885,0.180912
-69,-0.0227648,0.179986
-68,-0.0225677,0.179078
-67,-0.0223012,0.178193
-66,-0.0219699,0.177332
-65,-0.0215788,0.176499
-64,-0.021133,0.175696
-63,-0.0206385,0.174924
-62,-0.020101,0.174184
-61,-0.019527,0.173476
-60,-0.018923,0.1728
-59,-0.0182955,0.172156
-58,-0.0176514,0.171542
-57,-0.0169975,0.170956
-56,-0.0163408,0.170397
-55,-0.0156882,0.16986
-54,-0.0150463,0.169342
-53,-0.0144219,0.168839
-52,-0.0138214,0.168346
-51,-0.0132512,0.167858
-50,-0.0127171,0.167369
-49,-0.0122249,0.166873
-48,-0.0117798,0.166363
-47,-0.0113866,0.165832
-46,-0.0110499,0.165272
-45,-0.0107735,0.164675
-44,-0.0105607,0.164034
-43,-0.0104145,0.163339
-42,-0.0103369,0.162583
-41,-0.0103297,0.161756
-40,-0.0103936,0.16085
-39,-0.0105289,0.159857
-38,-0.010735,0.158766
-37,-0.0110108,0.157571
-36,-0.0113542,0.156262
-35,-0.0117623,0.154832
-34,-0.0122314,0.153274
-33,-0.0127568,0.151581
-32,-0.0133329,0.149748
-31,-0.0139529,0.147771
-30,-0.0146091,0.145646
-29,-0.0152922,0.143373
-28,-0.0159914,0.140955
-27,-0.0166944,0.138396
-26,-0.0173868,0.135706
-25,-0.0180519,0.132901
-24,-0.0186706,0.130002
-23,-0.0192208,0.127039
-22,-0.0196775,0.124055
-21,-0.020013,0.121099
-20,-0.0201978,0.118238
-19,-0.0202023,0.115543
-18,-0.0200006,0.113094
-17,-0.019576,0.11096
-16,-0.01893,0.109181
-15,-0.0180913,0.107739
-14,-0.0171248,0.10652
-13,-0.0161326,0.105291
-12,-0.015242,0.103703
-11,-0.0145789,0.101341
